date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 25 2023 - 1:00am;Atlético Bucaramanga;Envigado;0;0;0;6;3;1;0;4;0;Estadio Alfonso López (Bucaramanga)
Jan 25 2023 - 8:10pm;Unión Magdalena;Atlético Huila;2;1;3;6;6;2;0;1;0;Estadio Sierra Nevada (Santa Marta)
Jan 25 2023 - 10:20pm;Rionegro Águilas;Junior;1;1;2;4;2;2;0;4;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 26 2023 - 9:00pm;Boyacá Chicó;Alianza Petrolera;2;0;2;2;10;0;0;2;0;Estadio de La Independencia (Tunja)
Jan 26 2023 - 11:10pm;Deportes Tolima;América de Cali;2;1;3;4;2;4;0;2;0;Estadio Manuel Murillo Toro (Ibagué)
Jan 27 2023 - 1:20am;Atlético Nacional;Once Caldas;1;0;1;6;2;1;0;0;0;Estadio Atanasio Girardot (Medellín)
Jan 27 2023 - 10:20pm;Jaguares de Córdoba;Santa Fe;2;2;4;6;3;4;0;5;1;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 28 2023 - 8:10pm;Envigado;La Equidad;1;1;2;2;4;2;1;3;0;Estadio Polideportivo Sur (Envigado)
Jan 28 2023 - 10:20pm;Atlético Huila;Atlético Bucaramanga;1;2;3;11;4;1;0;2;0;Estadio Guillermo Plazas Alcid (Neiva)
Jan 29 2023 - 8:10pm;Atlético Nacional;Rionegro Águilas;0;0;0;4;2;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 29 2023 - 10:20pm;Deportivo Pereira;Millonarios;2;3;5;8;5;4;0;1;0;Estadio Hernán Ramírez Villegas (Pereira)
Jan 30 2023 - 12:30am;Junior;Independiente Medellín;1;1;2;8;7;4;0;5;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 31 2023 - 1:10am;Once Caldas;Deportes Tolima;1;1;2;9;3;2;0;1;0;Estadio Palogrande (Manizales)
Jan 31 2023 - 9:00pm;Boyacá Chicó;Jaguares de Córdoba;1;0;1;4;2;2;0;0;0;Estadio de La Independencia (Tunja)
Jan 31 2023 - 11:10pm;América de Cali;Unión Magdalena;4;0;4;4;5;1;0;3;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 03 2023 - 11:00pm;Deportivo Pereira;Atlético Huila;2;1;3;3;3;3;0;1;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 04 2023 - 8:30pm;Independiente Medellín;Santa Fe;1;1;2;11;3;4;0;2;1;Estadio Atanasio Girardot (Medellín)
Feb 04 2023 - 10:45pm;Jaguares de Córdoba;Atlético Nacional;2;1;3;4;4;2;0;4;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 05 2023 - 1:00am;Deportivo Pasto;América de Cali;2;4;6;6;0;5;0;3;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 05 2023 - 8:15pm;Deportivo Cali;Once Caldas;0;0;0;5;3;4;0;0;0;Estadio Deportivo Cali (Palmira)
Feb 05 2023 - 10:30pm;Atlético Bucaramanga;Junior;1;0;1;9;7;3;0;4;0;Estadio Alfonso López (Bucaramanga)
Feb 06 2023 - 12:45am;Unión Magdalena;Envigado;1;1;2;8;6;4;0;4;1;Estadio Sierra Nevada (Santa Marta)
Feb 06 2023 - 11:00pm;Rionegro Águilas;Deportes Tolima;4;2;6;5;9;4;0;6;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 09 2023 - 11:05pm;Junior;Unión Magdalena;0;0;0;5;3;3;1;4;2;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 10 2023 - 11:00pm;Alianza Petrolera;Atlético Huila;2;0;2;6;6;3;0;1;2;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 11 2023 - 1:10am;Jaguares de Córdoba;Atlético Bucaramanga;1;1;2;3;5;3;0;1;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 11 2023 - 7:00pm;Envigado;Independiente Medellín;2;1;3;6;3;4;0;4;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 11 2023 - 11:20pm;Once Caldas;Rionegro Águilas;1;2;3;2;3;3;0;2;1;Estadio Palogrande (Manizales)
Feb 12 2023 - 1:30am;América de Cali;La Equidad;1;1;2;6;1;4;0;6;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 12 2023 - 7:00pm;Boyacá Chicó;Deportivo Pereira;3;1;4;5;4;2;0;3;0;Estadio de La Independencia (Tunja)
Feb 13 2023 - 1:10am;Atlético Nacional;Deportivo Cali;1;1;2;6;6;5;1;6;1;Estadio Atanasio Girardot (Medellín)
Feb 15 2023 - 1:00am;Santa Fe;Deportivo Pasto;0;2;2;8;0;2;1;4;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 16 2023 - 1:00am;La Equidad;Independiente Medellín;2;1;3;7;4;4;0;2;0;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 18 2023 - 1:00am;Atlético Huila;Deportes Tolima;0;0;0;8;7;2;0;4;0;Estadio Guillermo Plazas Alcid (Neiva)
Feb 18 2023 - 7:00pm;Envigado;Alianza Petrolera;0;0;0;6;3;2;0;1;0;Estadio Polideportivo Sur (Envigado)
Feb 18 2023 - 9:10pm;Independiente Medellín;América de Cali;0;1;1;5;4;2;0;4;0;Estadio Atanasio Girardot (Medellín)
Feb 18 2023 - 11:20pm;Millonarios;Jaguares de Córdoba;2;1;3;8;2;1;0;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 19 2023 - 1:30am;Deportivo Pasto;Junior;1;0;1;6;4;3;1;2;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 19 2023 - 7:00pm;Deportivo Pereira;Once Caldas;3;1;4;4;4;3;0;5;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 19 2023 - 9:10pm;La Equidad;Santa Fe;0;1;1;5;3;6;0;5;0;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 20 2023 - 12:30am;Atlético Bucaramanga;Atlético Nacional;1;1;2;7;8;4;0;2;0;Estadio Alfonso López (Bucaramanga)
Feb 21 2023 - 1:05am;Deportivo Cali;Rionegro Águilas;1;1;2;5;2;2;0;7;1;Estadio Deportivo Cali (Palmira)
Feb 25 2023 - 1:00am;Rionegro Águilas;Atlético Bucaramanga;1;0;1;10;2;2;0;3;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 25 2023 - 9:00pm;Junior;La Equidad;1;0;1;6;3;3;0;3;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 25 2023 - 11:10pm;Jaguares de Córdoba;Deportivo Pereira;2;0;2;4;3;3;1;4;1;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 26 2023 - 1:20am;América de Cali;Envigado;1;0;1;4;9;2;1;2;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 26 2023 - 7:00pm;Santa Fe;Unión Magdalena;0;0;0;7;2;2;0;6;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 26 2023 - 9:10pm;Once Caldas;Millonarios;1;0;1;3;6;4;0;3;0;Estadio Palogrande (Manizales)
Feb 26 2023 - 11:20pm;Deportes Tolima;Deportivo Cali;1;2;3;8;7;2;1;2;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 27 2023 - 1:30am;Alianza Petrolera;Independiente Medellín;0;1;1;5;2;2;0;6;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 27 2023 - 10:00pm;Atlético Nacional;Atlético Huila;3;1;4;7;11;1;0;1;0;Estadio Atanasio Girardot (Medellín)
