date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 30 2016 - 12:45am;Atlético Bucaramanga;Jaguares de Córdoba;1;2;3;9;0;1;0;3;0;Estadio Metropolitano de Techo
Jan 30 2016 - 7:00pm;Unión Magdalena;Deportivo Pasto;0;0;0;3;4;4;0;4;1;Estadio Palogrande
Jan 30 2016 - 9:00pm;Rionegro Águilas;Rionegro Águilas;0;3;3;3;2;5;0;3;0;Estadio Manuel Murillo Toro
Jan 30 2016 - 10:00pm;Boyacá Chicó;Deportivo Cali;4;1;5;1;8;5;0;5;0;Estadio Doce de Octubre
Jan 30 2016 - 11:00pm;Deportes Tolima;Santa Fe;0;1;1;2;4;4;0;5;0;Estadio de La Independencia
Jan 31 2016 - 1:00am;Atlético Nacional;Atlético Huila;1;0;1;4;6;2;0;3;0;Estadio Metropolitano Roberto Meléndez
Jan 31 2016 - 8:15pm;Jaguares de Córdoba;Independiente Medellín;2;2;4;4;4;4;1;1;0;Estadio Alfonso López
Jan 31 2016 - 10:00pm;Envigado;Alianza Petrolera;3;1;4;2;4;5;1;3;0;Estadio Atanasio Girardot
Jan 31 2016 - 10:30pm;Atlético Huila;La Equidad;0;0;0;5;4;2;0;2;0;Estadio Polideportivo Sur
Feb 01 2016 - 12:30am;Atlético Nacional;Patriotas Boyacá;3;0;3;-1;-1;3;0;4;0;Estadio Nemesio Camacho El Campín
Feb 06 2016 - 12:45am;Deportivo Pereira;Cortuluá;0;0;0;1;1;1;0;3;0;Estadio Metropolitano de Techo
Feb 06 2016 - 8:15pm;Junior;Envigado;1;0;1;6;8;3;0;2;0;Estadio Guillermo Plazas Alcid
Feb 06 2016 - 10:00pm;Once Caldas;Junior;0;1;1;7;1;4;2;3;1;Estadio Atanasio Girardot
Feb 06 2016 - 10:30pm;Boyacá Chicó;Atlético Bucaramanga;3;3;6;3;1;1;0;5;0;Estadio de La Independencia
