date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 24 2014 - 11:00pm;La Equidad;Alianza Petrolera;1;1;2;4;3;1;0;2;0;Estadio Metropolitano de Techo
Jan 25 2014 - 1:00am;Santa Fe;Rionegro Águilas;3;0;3;2;11;1;0;2;0;Estadio Nemesio Camacho El Campín
Jan 25 2014 - 8:15pm;Uniautónoma;Deportes Tolima;3;2;5;3;4;4;1;4;1;Estadio Metropolitano Roberto Meléndez
Jan 25 2014 - 10:00pm;Envigado;Millonarios;1;2;3;6;2;5;0;4;0;Estadio Polideportivo Sur
Jan 25 2014 - 10:30pm;Once Caldas;Fortaleza CEIF;3;1;4;4;9;5;0;3;0;Estadio Palogrande
Jan 26 2014 - 12:45am;Atlético Huila;Junior;2;3;5;5;5;6;1;6;1;Estadio Guillermo Plazas Alcid
Jan 26 2014 - 8:15pm;Deportivo Pasto;Patriotas Boyacá;3;1;4;1;2;2;0;5;0;Estadio Departamental Libertad
Jan 26 2014 - 10:15pm;Atlético Nacional;Independiente Medellín;3;1;4;4;3;2;0;3;2;Estadio Atanasio Girardot
Jan 27 2014 - 12:15am;Boyacá Chicó;Deportivo Cali;2;1;3;3;3;4;0;1;0;Estadio de La Independencia
Jan 31 2014 - 11:00pm;Patriotas Boyacá;Once Caldas;0;0;0;4;6;5;0;4;0;Estadio de La Independencia
Feb 01 2014 - 1:00am;Independiente Medellín;Deportivo Pasto;2;0;2;2;9;3;0;3;0;Estadio Atanasio Girardot
Feb 01 2014 - 8:15pm;Alianza Petrolera;Boyacá Chicó;1;2;3;1;4;4;1;3;0;Estadio Álvaro Gómez Hurtado
Feb 01 2014 - 10:00pm;Junior;Uniautónoma;1;1;2;3;5;3;1;5;1;Estadio Metropolitano Roberto Meléndez
Feb 01 2014 - 10:30pm;Fortaleza CEIF;Santa Fe;1;2;3;6;5;5;0;4;1;Estadio Metropolitano de Techo
Feb 02 2014 - 12:45am;Deportes Tolima;Envigado;2;4;6;9;2;6;0;6;1;Estadio Manuel Murillo Toro
Feb 02 2014 - 8:15pm;Rionegro Águilas;Atlético Huila;2;1;3;6;6;0;0;3;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 02 2014 - 10:15pm;Millonarios;La Equidad;0;1;1;9;3;1;0;2;0;Estadio Nemesio Camacho El Campín
Feb 03 2014 - 12:15am;Deportivo Cali;Atlético Nacional;0;3;3;8;3;2;0;2;0;Estadio Olímpico Pascual Guerrero
Feb 05 2014 - 12:45am;Once Caldas;Independiente Medellín;2;2;4;6;3;1;0;4;0;Estadio Palogrande
Feb 05 2014 - 11:00pm;Envigado;Uniautónoma;1;0;1;6;8;2;0;4;0;Estadio Polideportivo Sur
Feb 05 2014 - 11:00pm;La Equidad;Deportes Tolima;0;2;2;9;1;2;1;2;0;Estadio Metropolitano de Techo
Feb 06 2014 - 1:00am;Deportivo Pasto;Deportivo Cali;1;1;2;5;3;1;0;2;0;Estadio Departamental Libertad
Feb 06 2014 - 1:00am;Santa Fe;Patriotas Boyacá;1;0;1;1;6;3;0;4;0;Estadio Nemesio Camacho El Campín
Feb 06 2014 - 11:00pm;Atlético Nacional;Alianza Petrolera;5;1;6;7;3;1;0;0;0;Estadio Atanasio Girardot
Feb 06 2014 - 11:00pm;Atlético Huila;Fortaleza CEIF;3;1;4;-1;-1;4;0;2;0;Estadio Guillermo Plazas Alcid
Feb 07 2014 - 1:00am;Boyacá Chicó;Millonarios;1;0;1;5;8;1;0;2;0;Estadio de La Independencia
Feb 07 2014 - 1:00am;Junior;Rionegro Águilas;2;0;2;3;1;2;0;2;0;Estadio Metropolitano Roberto Meléndez
Feb 08 2014 - 8:15pm;Envigado;La Equidad;1;3;4;10;4;2;0;2;0;Estadio Polideportivo Sur
Feb 08 2014 - 10:15pm;Independiente Medellín;Santa Fe;0;2;2;7;1;4;0;3;0;Estadio Atanasio Girardot
Feb 09 2014 - 12:45am;Deportivo Cali;Once Caldas;0;1;1;11;5;2;0;2;0;Estadio Olímpico Pascual Guerrero
Feb 09 2014 - 8:15pm;Uniautónoma;Rionegro Águilas;1;1;2;7;3;5;0;4;0;Estadio Metropolitano Roberto Meléndez
Feb 09 2014 - 8:15pm;Alianza Petrolera;Deportivo Pasto;1;1;2;6;1;3;0;3;1;Estadio Álvaro Gómez Hurtado
Feb 09 2014 - 10:30pm;Millonarios;Atlético Nacional;3;1;4;4;5;4;1;3;1;Estadio Nemesio Camacho El Campín
Feb 10 2014 - 12:30am;Deportes Tolima;Boyacá Chicó;1;0;1;6;1;2;0;1;0;Estadio Manuel Murillo Toro
Feb 10 2014 - 11:00pm;Patriotas Boyacá;Atlético Huila;3;1;4;6;3;2;0;3;0;Estadio de La Independencia
Feb 11 2014 - 1:00am;Fortaleza CEIF;Junior;0;0;0;6;3;4;1;2;0;Estadio Metropolitano de Techo
Feb 14 2014 - 11:00pm;Boyacá Chicó;Envigado;2;0;2;1;1;3;0;2;1;Estadio de La Independencia
Feb 15 2014 - 1:00am;Atlético Huila;Independiente Medellín;1;1;2;7;3;3;1;3;0;Estadio Guillermo Plazas Alcid
Feb 15 2014 - 8:15pm;La Equidad;Uniautónoma;0;0;0;4;3;1;0;2;0;Estadio Metropolitano de Techo
Feb 15 2014 - 10:00pm;Deportivo Pasto;Millonarios;1;1;2;4;5;2;1;2;0;Estadio Departamental Libertad
Feb 15 2014 - 10:30pm;Rionegro Águilas;Fortaleza CEIF;2;1;3;3;5;5;0;4;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 16 2014 - 12:45am;Santa Fe;Deportivo Cali;0;0;0;10;5;3;0;1;0;Estadio Nemesio Camacho El Campín
Feb 16 2014 - 8:15pm;Once Caldas;Alianza Petrolera;2;1;3;-1;-1;2;0;4;0;Estadio Palogrande
Feb 16 2014 - 10:30pm;Junior;Patriotas Boyacá;1;0;1;7;7;1;0;2;0;Estadio Metropolitano Roberto Meléndez
Feb 17 2014 - 12:30am;Atlético Nacional;Deportes Tolima;2;0;2;4;5;4;0;2;1;Estadio Atanasio Girardot
Feb 18 2014 - 11:00pm;Uniautónoma;Fortaleza CEIF;0;1;1;-1;-1;3;0;3;1;Estadio Metropolitano Roberto Meléndez
Feb 19 2014 - 1:00am;La Equidad;Boyacá Chicó;1;0;1;-1;-1;2;0;1;1;Estadio Metropolitano de Techo
Feb 19 2014 - 8:15pm;Alianza Petrolera;Santa Fe;1;2;3;4;6;3;0;3;0;Estadio Álvaro Gómez Hurtado
Feb 19 2014 - 11:00pm;Patriotas Boyacá;Rionegro Águilas;1;0;1;0;0;3;0;1;0;Estadio de La Independencia
Feb 20 2014 - 1:00am;Millonarios;Once Caldas;1;1;2;4;9;2;0;2;0;Estadio Nemesio Camacho El Campín
Feb 20 2014 - 1:00am;Envigado;Atlético Nacional;2;3;5;1;5;5;1;5;0;Estadio Polideportivo Sur
Feb 20 2014 - 11:00pm;Deportes Tolima;Deportivo Pasto;1;1;2;13;2;3;0;2;0;Estadio Manuel Murillo Toro
Feb 21 2014 - 1:00am;Independiente Medellín;Junior;2;2;4;2;3;3;0;3;0;Estadio Atanasio Girardot
Feb 22 2014 - 7:00pm;Fortaleza CEIF;Patriotas Boyacá;2;2;4;6;2;4;0;3;1;Estadio Metropolitano de Techo
Feb 22 2014 - 9:00pm;Atlético Huila;Alianza Petrolera;3;0;3;-1;-1;0;0;3;0;Estadio Guillermo Plazas Alcid
Feb 22 2014 - 10:40pm;Santa Fe;Millonarios;0;1;1;-1;-1;6;0;5;0;Estadio Nemesio Camacho El Campín
Feb 22 2014 - 11:00pm;Boyacá Chicó;Uniautónoma;3;2;5;10;2;3;0;3;1;Estadio de La Independencia
Feb 23 2014 - 1:00am;Atlético Nacional;La Equidad;1;2;3;4;1;3;1;1;0;Estadio Atanasio Girardot
Feb 23 2014 - 8:15pm;Deportivo Pasto;Envigado;1;2;3;7;7;3;2;7;0;Estadio Departamental Libertad
Feb 23 2014 - 8:15pm;Rionegro Águilas;Independiente Medellín;1;1;2;5;5;1;0;3;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 23 2014 - 10:30pm;Once Caldas;Deportes Tolima;3;0;3;5;10;2;0;3;0;Estadio Palogrande
Feb 24 2014 - 12:30am;Junior;Deportivo Cali;1;0;1;5;7;3;0;4;0;Estadio Metropolitano Roberto Meléndez
Feb 25 2014 - 11:00pm;Uniautónoma;Patriotas Boyacá;2;0;2;5;4;3;0;5;0;Estadio Metropolitano Roberto Meléndez
Feb 26 2014 - 1:00am;Millonarios;Atlético Huila;2;2;4;12;2;2;0;2;0;Estadio Nemesio Camacho El Campín
