date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Feb 03 2018 - 12:45am;Independiente Medellín;Atlético Huila;3;0;3;2;5;1;0;1;0;Estadio Atanasio Girardot
Feb 03 2018 - 9:00pm;Rionegro Águilas;Deportivo Pasto;0;0;0;6;3;2;0;2;0;Estadio Alberto Grisales
Feb 03 2018 - 11:00pm;Once Caldas;Jaguares de Córdoba;2;0;2;6;7;3;0;3;0;Estadio Palogrande
Feb 03 2018 - 11:00pm;Leones;América de Cali;1;2;3;2;7;1;0;2;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 04 2018 - 1:00am;Deportivo Cali;Envigado;0;0;0;7;3;4;0;4;0;Estadio Deportivo Cali
Feb 04 2018 - 8:15pm;Junior;Atlético Bucaramanga;1;0;1;7;2;3;0;5;0;Estadio Metropolitano Roberto Meléndez
Feb 04 2018 - 10:15pm;Deportes Tolima;Atlético Nacional;0;1;1;12;2;5;1;2;0;Estadio Manuel Murillo Toro
Feb 04 2018 - 10:30pm;Santa Fe;Patriotas Boyacá;0;2;2;10;1;3;0;3;0;Estadio Nemesio Camacho El Campín
Feb 05 2018 - 12:30am;Boyacá Chicó;Millonarios;1;1;2;3;9;5;0;1;0;Estadio de La Independencia
Feb 06 2018 - 12:45am;La Equidad;Alianza Petrolera;0;0;0;6;0;2;0;3;0;Estadio Metropolitano de Techo
Feb 10 2018 - 12:45am;Envigado;Rionegro Águilas;2;0;2;7;4;2;0;4;1;Estadio Polideportivo Sur
Feb 10 2018 - 9:00pm;Atlético Huila;Deportivo Cali;1;0;1;4;2;0;0;1;1;Estadio Manuel Murillo Toro
Feb 10 2018 - 11:00pm;América de Cali;Deportes Tolima;1;1;2;8;5;1;0;2;0;Estadio Olímpico Pascual Guerrero
Feb 10 2018 - 11:00pm;Alianza Petrolera;Leones;1;0;1;8;1;4;0;2;0;Estadio Daniel Villa Zapata
Feb 11 2018 - 1:00am;Atlético Nacional;Santa Fe;1;0;1;4;5;0;0;1;0;Estadio Atanasio Girardot
Feb 11 2018 - 7:00pm;Boyacá Chicó;Independiente Medellín;1;2;3;5;2;3;0;3;0;Estadio de La Independencia
Feb 11 2018 - 9:00pm;Jaguares de Córdoba;La Equidad;1;0;1;2;6;4;0;3;0;Estadio Armando Tuirán Paternina (Sahagún- Córdoba)
Feb 11 2018 - 10:15pm;Millonarios;Patriotas Boyacá;1;0;1;5;3;3;0;1;0;Estadio Nemesio Camacho El Campín
Feb 11 2018 - 11:00pm;Atlético Bucaramanga;Once Caldas;1;2;3;6;4;5;0;5;0;Estadio Alfonso López
Feb 12 2018 - 1:00am;Deportivo Pasto;Junior;2;0;2;6;3;4;1;3;0;Estadio Departamental Libertad
Feb 13 2018 - 11:00pm;Rionegro Águilas;Atlético Huila;0;0;0;8;5;3;1;3;0;Estadio Alberto Grisales
Feb 14 2018 - 1:00am;Deportes Tolima;Alianza Petrolera;3;1;4;9;4;3;0;1;0;Estadio Manuel Murillo Toro
Feb 14 2018 - 9:00pm;Leones;Jaguares de Córdoba;0;0;0;4;7;3;0;4;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 14 2018 - 11:00pm;Deportivo Cali;Boyacá Chicó;4;0;4;3;4;3;0;5;0;Estadio Deportivo Cali
Feb 15 2018 - 1:00am;Independiente Medellín;Millonarios;1;0;1;3;5;1;0;2;0;Estadio Atanasio Girardot
Feb 15 2018 - 9:00pm;La Equidad;Atlético Bucaramanga;0;0;0;4;3;2;0;1;1;Estadio Metropolitano de Techo
Feb 15 2018 - 11:00pm;Once Caldas;Deportivo Pasto;3;0;3;1;4;5;0;2;0;Estadio Palogrande
Feb 16 2018 - 1:00am;Patriotas Boyacá;Atlético Nacional;3;1;4;3;3;5;0;3;0;Estadio de La Independencia
Feb 17 2018 - 9:00pm;Jaguares de Córdoba;Deportes Tolima;2;0;2;5;4;2;0;5;1;Estadio Armando Tuirán Paternina (Sahagún- Córdoba)
Feb 17 2018 - 11:00pm;Boyacá Chicó;Rionegro Águilas;1;2;3;6;5;1;0;2;0;Estadio de La Independencia
Feb 17 2018 - 11:00pm;Independiente Medellín;Deportivo Cali;2;1;3;3;4;3;0;4;1;Estadio Atanasio Girardot
Feb 18 2018 - 1:00am;Alianza Petrolera;Santa Fe;2;1;3;5;7;6;0;2;0;Estadio Daniel Villa Zapata
