date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 31 2015 - 12:45am;Cortuluá;Envigado;1;1;2;7;3;3;1;3;0;Estadio Doce de Octubre
Jan 31 2015 - 8:15pm;Deportes Tolima;Boyacá Chicó;4;1;5;4;5;2;0;3;0;Estadio Manuel Murillo Toro
Jan 31 2015 - 10:30pm;Once Caldas;Independiente Medellín;0;2;2;10;3;1;0;3;0;Estadio Palogrande
Feb 01 2015 - 12:45am;Atlético Nacional;Rionegro Águilas;2;0;2;9;3;3;0;3;0;Estadio Atanasio Girardot
Feb 01 2015 - 8:00pm;Jaguares de Córdoba;Deportivo Cali;0;0;0;-1;-1;2;0;5;0;Estadio de Fútbol Jaraguay de Montería
Feb 01 2015 - 10:00pm;La Equidad;Santa Fe;2;2;4;4;3;4;1;3;1;Estadio Metropolitano de Techo
Feb 01 2015 - 10:30pm;Patriotas Boyacá;Atlético Huila;2;1;3;1;4;4;0;0;0;Estadio de La Independencia
Feb 02 2015 - 12:30am;Cúcuta Deportivo;Junior;1;0;1;7;6;3;0;3;0;Estadio General Santander
Feb 03 2015 - 12:45am;Uniautónoma;Alianza Petrolera;1;1;2;3;1;1;0;3;0;Estadio Metropolitano Roberto Meléndez
Feb 07 2015 - 12:45am;Atlético Huila;Jaguares de Córdoba;2;1;3;6;2;3;0;2;0;Estadio Guillermo Plazas Alcid
Feb 07 2015 - 7:00pm;Deportivo Pasto;Cortuluá;0;3;3;4;2;2;0;2;0;Estadio Departamental Libertad
Feb 07 2015 - 9:00pm;Rionegro Águilas;Uniautónoma;1;0;1;5;5;1;0;2;1;Estadio Hernán Ramírez Villegas
Feb 07 2015 - 10:00pm;Millonarios;Patriotas Boyacá;2;0;2;7;5;3;0;4;0;Estadio Nemesio Camacho El Campín
Feb 07 2015 - 11:00pm;Independiente Medellín;Atlético Nacional;0;1;1;8;4;2;0;4;0;Estadio Atanasio Girardot
Feb 08 2015 - 1:00am;Cúcuta Deportivo;Santa Fe;2;2;4;-1;-1;1;0;2;0;Estadio General Santander
Feb 08 2015 - 8:15pm;Boyacá Chicó;Alianza Petrolera;0;0;0;7;1;1;0;1;0;Estadio de La Independencia
Feb 08 2015 - 10:00pm;Deportivo Cali;La Equidad;2;0;2;2;3;3;0;6;1;Estadio Deportivo Cali
Feb 08 2015 - 10:30pm;Junior;Once Caldas;2;1;3;9;4;2;0;3;0;Estadio Metropolitano Roberto Meléndez
Feb 09 2015 - 12:30am;Envigado;Deportes Tolima;1;0;1;3;6;4;0;3;0;Estadio Polideportivo Sur
Feb 10 2015 - 9:00pm;Jaguares de Córdoba;Deportivo Pasto;2;0;2;-1;-1;0;0;3;1;Estadio de Fútbol Jaraguay de Montería
Feb 11 2015 - 12:45am;Patriotas Boyacá;Cúcuta Deportivo;3;0;3;9;1;2;0;6;1;Estadio de La Independencia
Feb 11 2015 - 9:00pm;Alianza Petrolera;Rionegro Águilas;1;0;1;-1;-1;4;0;1;0;Estadio Álvaro Gómez Hurtado
Feb 11 2015 - 11:00pm;Atlético Nacional;Atlético Huila;1;2;3;7;5;2;0;2;0;Estadio Atanasio Girardot
Feb 11 2015 - 11:00pm;La Equidad;Envigado;0;1;1;6;1;2;0;2;0;Estadio Metropolitano de Techo
Feb 12 2015 - 1:00am;Uniautónoma;Deportivo Cali;1;2;3;3;4;3;0;3;0;Estadio Metropolitano Roberto Meléndez
Feb 12 2015 - 1:00am;Santa Fe;Boyacá Chicó;1;0;1;5;3;3;1;3;0;Estadio Nemesio Camacho El Campín
Feb 12 2015 - 11:00pm;Cortuluá;Junior;2;0;2;6;6;3;0;4;0;Estadio Doce de Octubre
Feb 13 2015 - 1:00am;Deportes Tolima;Independiente Medellín;1;2;3;12;3;1;0;4;0;Estadio Manuel Murillo Toro
Feb 14 2015 - 7:00pm;La Equidad;Rionegro Águilas;0;2;2;-1;-1;1;0;1;0;Estadio Metropolitano de Techo
Feb 14 2015 - 9:00pm;Alianza Petrolera;Santa Fe;0;1;1;-1;-1;2;1;2;0;Estadio Álvaro Gómez Hurtado
Feb 14 2015 - 10:00pm;Envigado;Atlético Nacional;1;2;3;2;7;1;0;3;0;Estadio Polideportivo Sur
Feb 14 2015 - 11:00pm;Boyacá Chicó;Uniautónoma;0;0;0;6;2;3;0;3;0;Estadio de La Independencia
Feb 15 2015 - 1:00am;Millonarios;Cúcuta Deportivo;3;0;3;-1;-1;1;0;3;1;Estadio Nemesio Camacho El Campín
Feb 15 2015 - 8:15pm;Cortuluá;Atlético Huila;0;1;1;8;2;2;0;2;0;Estadio Doce de Octubre
Feb 15 2015 - 10:00pm;Deportes Tolima;Deportivo Cali;4;1;5;8;11;1;0;4;0;Estadio Manuel Murillo Toro
Feb 15 2015 - 10:30pm;Independiente Medellín;Jaguares de Córdoba;2;2;4;12;0;3;0;5;0;Estadio Atanasio Girardot
Feb 16 2015 - 12:30am;Once Caldas;Deportivo Pasto;1;0;1;9;1;3;1;4;0;Estadio Palogrande
Feb 21 2015 - 7:00pm;Envigado;Uniautónoma;2;0;2;3;2;2;0;2;1;Estadio Polideportivo Sur
Feb 21 2015 - 9:00pm;Cúcuta Deportivo;Boyacá Chicó;1;1;2;-1;-1;3;0;5;0;Estadio General Santander
Feb 21 2015 - 10:00pm;Deportivo Cali;Alianza Petrolera;0;0;0;15;3;3;2;4;1;Estadio Deportivo Cali
Feb 21 2015 - 11:00pm;Millonarios;Cortuluá;4;1;5;11;2;3;0;4;0;Estadio Nemesio Camacho El Campín
Feb 22 2015 - 1:00am;Junior;Jaguares de Córdoba;4;0;4;6;2;1;0;3;1;Estadio Metropolitano Roberto Meléndez
Feb 22 2015 - 7:00pm;Patriotas Boyacá;Once Caldas;1;1;2;5;2;4;0;4;0;Estadio de La Independencia
Feb 22 2015 - 9:00pm;Independiente Medellín;La Equidad;1;0;1;5;1;2;0;2;0;Estadio Atanasio Girardot
Feb 22 2015 - 10:00pm;Rionegro Águilas;Santa Fe;1;1;2;7;6;2;0;4;0;Estadio Hernán Ramírez Villegas
Feb 22 2015 - 11:00pm;Deportivo Pasto;Atlético Nacional;2;1;3;2;6;2;0;3;1;Estadio Departamental Libertad
Feb 23 2015 - 1:00am;Atlético Huila;Deportes Tolima;1;1;2;6;5;2;0;2;0;Estadio Guillermo Plazas Alcid
Feb 24 2015 - 11:00pm;Boyacá Chicó;Envigado;1;1;2;1;8;1;0;1;0;Estadio de La Independencia
Feb 25 2015 - 1:00am;Cortuluá;Cúcuta Deportivo;0;0;0;6;2;2;0;3;0;Estadio Doce de Octubre
Feb 25 2015 - 9:00pm;Jaguares de Córdoba;Once Caldas;1;2;3;-1;-1;5;1;5;0;Estadio de Fútbol Jaraguay de Montería
Feb 25 2015 - 9:00pm;Alianza Petrolera;Atlético Huila;1;1;2;-1;-1;2;0;3;0;Estadio Daniel Villa Zapata
Feb 25 2015 - 11:00pm;La Equidad;Junior;1;0;1;5;1;3;1;2;0;Estadio Metropolitano de Techo
Feb 26 2015 - 1:00am;Deportes Tolima;Millonarios;1;0;1;2;5;4;1;4;1;Estadio Manuel Murillo Toro
Feb 26 2015 - 1:00am;Uniautónoma;Deportivo Pasto;1;0;1;2;2;3;0;3;0;Estadio Metropolitano Roberto Meléndez
Feb 26 2015 - 11:00pm;Rionegro Águilas;Deportivo Cali;2;1;3;4;0;3;0;3;1;Estadio Hernán Ramírez Villegas
Feb 27 2015 - 1:00am;Atlético Nacional;Patriotas Boyacá;2;0;2;5;5;4;0;2;0;Estadio Atanasio Girardot
