date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 24 2020 - 12:45am;Deportes Tolima;Independiente Medellín;2;2;4;7;3;5;0;1;0;Estadio Manuel Murillo Toro (Ibagué)
Jan 24 2020 - 11:00pm;Rionegro Águilas;Jaguares de Córdoba;2;0;2;1;5;2;0;1;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 25 2020 - 1:05am;Once Caldas;Santa Fe;0;0;0;6;5;3;0;3;0;Estadio Palogrande (Manizales)
Jan 25 2020 - 7:00pm;Envigado;Boyacá Chicó;1;0;1;5;1;2;0;1;1;Estadio Polideportivo Sur (Envigado)
Jan 25 2020 - 9:05pm;Atlético Bucaramanga;Deportivo Cali;0;2;2;9;4;3;0;4;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 25 2020 - 11:10pm;Junior;La Equidad;2;0;2;3;2;3;0;4;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 26 2020 - 1:15am;América de Cali;Alianza Petrolera;3;1;4;1;5;2;0;1;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Jan 26 2020 - 8:15pm;Patriotas Boyacá;Cúcuta Deportivo;1;1;2;3;2;1;0;1;0;Estadio de La Independencia (Tunja)
Jan 26 2020 - 10:20pm;Atlético Nacional;Deportivo Pereira;2;0;2;7;4;3;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 27 2020 - 12:30am;Millonarios;Deportivo Pasto;1;2;3;6;4;2;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 28 2020 - 9:00pm;Once Caldas;Atlético Bucaramanga;1;1;2;10;2;3;0;3;0;Estadio Palogrande (Manizales)
Jan 28 2020 - 11:05pm;Independiente Medellín;Rionegro Águilas;2;1;3;2;3;4;0;2;0;Estadio Atanasio Girardot (Medellín)
Jan 29 2020 - 1:10am;Deportivo Cali;Junior;0;0;0;9;4;4;0;5;1;Estadio Deportivo Cali (Palmira)
Jan 29 2020 - 9:05pm;Jaguares de Córdoba;América de Cali;2;2;4;1;3;8;0;5;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 29 2020 - 11:10pm;Boyacá Chicó;Patriotas Boyacá;1;0;1;5;3;1;0;3;0;Estadio de La Independencia (Tunja)
Jan 30 2020 - 1:15am;La Equidad;Atlético Nacional;3;4;7;9;2;3;0;1;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 30 2020 - 9:00pm;Alianza Petrolera;Deportivo Pereira;1;0;1;6;6;3;0;3;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 30 2020 - 11:05pm;Santa Fe;Envigado;1;1;2;8;0;1;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 30 2020 - 11:05pm;Cúcuta Deportivo;Millonarios;1;1;2;0;9;3;0;2;0;Estadio General Santander (Cúcuta)
Feb 01 2020 - 9:05pm;Atlético Bucaramanga;Deportes Tolima;0;0;0;7;5;5;0;3;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 01 2020 - 11:10pm;Junior;Independiente Medellín;1;0;1;4;6;1;0;4;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 02 2020 - 1:15am;Atlético Nacional;Jaguares de Córdoba;1;2;3;10;1;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Feb 02 2020 - 8:15pm;Deportivo Pereira;Cúcuta Deportivo;2;0;2;6;5;1;0;3;1;Estadio Hernán Ramírez Villegas (Pereira)
Feb 02 2020 - 10:20pm;Millonarios;La Equidad;2;2;4;5;6;2;0;5;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 03 2020 - 12:30am;América de Cali;Boyacá Chicó;1;0;1;3;12;1;0;2;0;Estadio Centenario (Armenia)
Feb 03 2020 - 9:00pm;Alianza Petrolera;Deportivo Pasto;0;1;1;8;5;2;0;4;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 03 2020 - 11:00pm;Rionegro Águilas;Santa Fe;1;0;1;5;9;4;0;2;0;Estadio Alberto Grisales (Rionegro- Antioquia)
