date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 16 2021 - 10:00pm;Millonarios;Envigado;1;0;1;10;2;1;0;2;0;Estadio Palogrande (Manizales)
Jan 17 2021 - 12:30am;Junior;Independiente Medellín;1;0;1;4;4;1;0;5;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 17 2021 - 7:00pm;Deportivo Pasto;La Equidad;2;2;4;5;1;1;0;0;0;Estadio Departamental Libertad (San Juan de Pasto)
Jan 17 2021 - 11:05pm;Atlético Nacional;Santa Fe;2;0;2;1;2;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 18 2021 - 1:10am;Deportivo Cali;Jaguares de Córdoba;1;0;1;6;6;0;0;3;0;Estadio Deportivo Cali (Palmira)
Jan 18 2021 - 8:30pm;Deportes Tolima;Once Caldas;1;1;2;7;4;2;0;2;0;Estadio Manuel Murillo Toro (Ibagué)
Jan 20 2021 - 12:40am;Atlético Bucaramanga;Boyacá Chicó;2;0;2;2;6;2;0;1;0;Estadio Alfonso López (Bucaramanga)
Jan 21 2021 - 12:40am;Alianza Petrolera;Deportivo Pereira;2;2;4;8;2;4;0;4;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 23 2021 - 1:00am;Independiente Medellín;Patriotas Boyacá;2;1;3;4;4;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 23 2021 - 10:35pm;Envigado;Deportivo Pasto;0;1;1;5;5;2;0;4;0;Estadio Polideportivo Sur (Envigado)
Jan 24 2021 - 9:00pm;América de Cali;Rionegro Águilas;1;1;2;7;3;1;0;3;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Jan 24 2021 - 11:05pm;Jaguares de Córdoba;Atlético Bucaramanga;2;1;3;2;10;3;2;3;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 25 2021 - 1:10am;Deportivo Pereira;Deportivo Cali;0;1;1;8;2;3;0;1;0;Estadio Hernán Ramírez Villegas (Pereira)
Jan 25 2021 - 7:00pm;La Equidad;Atlético Nacional;1;0;1;4;6;2;0;1;0;Estadio Héctor El Zipa González (Zipaquirá)
Jan 25 2021 - 10:30pm;Once Caldas;Junior;1;2;3;4;7;3;0;2;0;Estadio Palogrande (Manizales)
Jan 29 2021 - 11:00pm;Jaguares de Córdoba;Alianza Petrolera;2;0;2;5;4;2;0;2;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 30 2021 - 1:00am;Deportivo Cali;Envigado;1;1;2;9;2;2;0;5;0;Estadio Deportivo Cali (Palmira)
Jan 30 2021 - 7:00pm;Patriotas Boyacá;Boyacá Chicó;1;1;2;6;1;5;0;1;0;Estadio de La Independencia (Tunja)
Jan 30 2021 - 9:00pm;Rionegro Águilas;Santa Fe;0;2;2;6;7;3;0;1;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 30 2021 - 11:05pm;Atlético Nacional;Deportivo Pereira;5;2;7;8;6;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 31 2021 - 1:10am;Junior;América de Cali;2;1;3;6;4;2;1;3;1;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 31 2021 - 8:30pm;Deportes Tolima;La Equidad;1;0;1;4;2;3;0;1;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 01 2021 - 12:40am;Atlético Bucaramanga;Independiente Medellín;0;1;1;3;3;0;0;1;0;Estadio Alfonso López (Bucaramanga)
Feb 01 2021 - 7:00pm;Millonarios;Once Caldas;4;3;7;5;5;1;0;1;0;Estadio Héctor El Zipa González (Zipaquirá)
Feb 02 2021 - 9:00pm;Envigado;Jaguares de Córdoba;1;1;2;1;6;1;0;1;0;Estadio Polideportivo Sur (Envigado)
Feb 02 2021 - 11:00pm;Boyacá Chicó;Deportivo Cali;0;1;1;5;1;1;1;2;0;Estadio de La Independencia (Tunja)
Feb 03 2021 - 1:05am;Deportivo Pasto;Atlético Nacional;0;0;0;6;3;1;0;3;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 03 2021 - 7:00pm;La Equidad;Junior;1;0;1;3;7;2;0;2;0;Estadio Héctor El Zipa González (Zipaquirá)
Feb 03 2021 - 9:00pm;Deportivo Pereira;Deportes Tolima;0;0;0;2;10;0;0;3;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 03 2021 - 11:05pm;Alianza Petrolera;Rionegro Águilas;1;2;3;7;1;0;0;2;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 04 2021 - 1:10am;América de Cali;Atlético Bucaramanga;0;0;0;3;4;1;0;2;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 04 2021 - 7:00pm;Santa Fe;Patriotas Boyacá;1;0;1;12;3;3;0;1;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 05 2021 - 1:00am;Independiente Medellín;Millonarios;0;0;0;1;5;2;0;1;0;Estadio Atanasio Girardot (Medellín)
Feb 06 2021 - 8:15pm;Once Caldas;Envigado;3;1;4;0;6;5;0;4;0;Estadio Palogrande (Manizales)
Feb 06 2021 - 10:30pm;Junior;Alianza Petrolera;2;0;2;4;5;2;0;1;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 07 2021 - 1:00am;Atlético Nacional;Boyacá Chicó;2;0;2;4;3;1;0;2;0;Estadio Atanasio Girardot (Medellín)
Feb 07 2021 - 7:00pm;Millonarios;Deportivo Pereira;3;2;5;3;7;3;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 07 2021 - 9:00pm;Deportes Tolima;Independiente Medellín;2;1;3;1;4;3;1;2;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 07 2021 - 11:05pm;Patriotas Boyacá;Deportivo Cali;0;1;1;9;6;0;0;2;0;Estadio de La Independencia (Tunja)
Feb 08 2021 - 1:10am;Jaguares de Córdoba;Santa Fe;0;1;1;6;4;0;0;2;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 09 2021 - 1:00am;Atlético Bucaramanga;La Equidad;0;0;0;4;7;3;0;2;0;Estadio Alfonso López (Bucaramanga)
Feb 10 2021 - 12:40am;Rionegro Águilas;Deportivo Pasto;1;1;2;6;4;3;0;3;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 12 2021 - 9:00pm;Deportivo Pereira;Patriotas Boyacá;1;2;3;15;4;2;0;3;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 12 2021 - 11:00pm;Alianza Petrolera;Once Caldas;0;0;0;5;4;1;0;2;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 13 2021 - 1:05am;Boyacá Chicó;América de Cali;1;2;3;5;3;4;0;3;0;Estadio de La Independencia (Tunja)
Feb 13 2021 - 8:15pm;La Equidad;Millonarios;1;0;1;0;4;3;0;1;0;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 13 2021 - 10:30pm;Deportivo Cali;Rionegro Águilas;1;0;1;7;4;1;0;1;0;Estadio Deportivo Cali (Palmira)
Feb 14 2021 - 1:00am;Envigado;Junior;2;2;4;3;7;3;0;0;0;Estadio Polideportivo Sur (Envigado)
Feb 14 2021 - 7:00pm;Santa Fe;Atlético Bucaramanga;2;0;2;10;3;2;0;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 14 2021 - 11:05pm;Independiente Medellín;Jaguares de Córdoba;1;0;1;7;6;2;0;1;0;Estadio Atanasio Girardot (Medellín)
Feb 15 2021 - 1:10am;Deportivo Pasto;Deportes Tolima;0;1;1;5;2;2;0;3;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 16 2021 - 11:00pm;Patriotas Boyacá;Alianza Petrolera;3;1;4;1;1;3;0;1;0;Estadio de La Independencia (Tunja)
Feb 17 2021 - 1:00am;Once Caldas;Atlético Nacional;0;1;1;6;5;2;0;1;0;Estadio Palogrande (Manizales)
Feb 17 2021 - 7:00pm;Atlético Bucaramanga;Deportivo Pereira;2;0;2;0;6;1;0;3;0;Estadio Alfonso López (Bucaramanga)
Feb 17 2021 - 9:00pm;Rionegro Águilas;Envigado;1;1;2;8;5;1;0;5;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 17 2021 - 11:05pm;Independiente Medellín;Boyacá Chicó;1;0;1;2;7;4;0;3;0;Estadio Atanasio Girardot (Medellín)
Feb 18 2021 - 1:10am;Junior;Deportivo Cali;1;2;3;5;6;4;0;2;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 18 2021 - 9:00pm;Jaguares de Córdoba;La Equidad;2;1;3;7;4;3;0;3;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 18 2021 - 11:00pm;Millonarios;Deportivo Pasto;3;1;4;3;6;2;1;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 19 2021 - 1:05am;América de Cali;Santa Fe;0;0;0;8;5;1;0;3;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 20 2021 - 1:00am;Deportes Tolima;Patriotas Boyacá;3;1;4;3;1;1;0;1;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 20 2021 - 8:15pm;Envigado;Atlético Bucaramanga;1;0;1;2;5;3;0;2;0;Estadio Polideportivo Sur (Envigado)
Feb 20 2021 - 10:30pm;Deportivo Pereira;Rionegro Águilas;0;0;0;3;3;3;0;5;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 21 2021 - 1:00am;Boyacá Chicó;Junior;2;1;3;3;3;5;0;1;0;Estadio de La Independencia (Tunja)
Feb 21 2021 - 7:00pm;La Equidad;Once Caldas;0;0;0;2;2;2;0;0;0;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 21 2021 - 9:00pm;Deportivo Pasto;Jaguares de Córdoba;2;2;4;9;3;2;0;0;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 21 2021 - 11:05pm;Santa Fe;Independiente Medellín;0;0;0;5;5;0;0;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 22 2021 - 1:10am;Atlético Nacional;América de Cali;2;2;4;4;3;4;1;3;0;Estadio Atanasio Girardot (Medellín)
Feb 23 2021 - 1:00am;Deportivo Cali;Alianza Petrolera;1;1;2;5;4;3;0;2;0;Estadio Deportivo Cali (Palmira)
Feb 24 2021 - 1:00am;Junior;Millonarios;2;0;2;0;1;3;0;4;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 24 2021 - 7:00pm;América de Cali;Envigado;0;0;0;2;5;1;0;0;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 24 2021 - 9:00pm;Rionegro Águilas;La Equidad;1;2;3;5;3;1;0;4;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 24 2021 - 11:05pm;Atlético Bucaramanga;Atlético Nacional;3;2;5;1;10;2;0;3;0;Estadio Alfonso López (Bucaramanga)
Feb 25 2021 - 1:10am;Santa Fe;Boyacá Chicó;2;0;2;1;3;1;0;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 25 2021 - 7:00pm;Once Caldas;Deportivo Pasto;0;1;1;5;5;3;0;5;0;Estadio Palogrande (Manizales)
Feb 25 2021 - 9:00pm;Jaguares de Córdoba;Deportivo Pereira;2;0;2;4;5;4;0;3;1;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 25 2021 - 11:05pm;Alianza Petrolera;Deportes Tolima;0;5;5;7;1;2;0;0;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 26 2021 - 1:10am;Independiente Medellín;Deportivo Cali;1;1;2;4;10;4;0;1;0;Estadio Atanasio Girardot (Medellín)
Feb 27 2021 - 10:30pm;La Equidad;Boyacá Chicó;2;1;3;1;5;4;0;3;1;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 28 2021 - 1:00am;Patriotas Boyacá;Junior;1;0;1;3;4;1;0;0;0;Estadio de La Independencia (Tunja)
Feb 28 2021 - 7:00pm;Envigado;Independiente Medellín;1;1;2;5;4;2;0;2;0;Estadio Polideportivo Sur (Envigado)
Feb 28 2021 - 9:00pm;Deportes Tolima;Rionegro Águilas;1;0;1;10;4;5;0;2;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 28 2021 - 11:05pm;Deportivo Pasto;América de Cali;1;1;2;5;6;3;0;1;0;Estadio Departamental Libertad (San Juan de Pasto)
Mar 01 2021 - 1:10am;Deportivo Cali;Santa Fe;1;1;2;6;4;3;1;3;0;Estadio Deportivo Cali (Palmira)
Mar 01 2021 - 11:00pm;Deportivo Pereira;Once Caldas;2;0;2;0;8;5;0;3;1;Estadio Hernán Ramírez Villegas (Pereira)
Mar 02 2021 - 1:00am;Millonarios;Jaguares de Córdoba;0;2;2;6;4;0;0;2;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Mar 03 2021 - 1:00am;Atlético Nacional;Alianza Petrolera;5;0;5;5;1;0;0;3;0;Estadio Atanasio Girardot (Medellín)
