date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;stadium_name
Jan 20 2022 - 11:00pm;Rionegro Águilas;Atlético Bucaramanga;1;1;2;5;3;2;0;5;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 21 2022 - 1:05am;América de Cali;Envigado;1;0;1;5;1;3;0;3;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Jan 21 2022 - 11:00pm;Santa Fe;La Equidad;1;1;2;4;6;4;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 22 2022 - 1:05am;Deportivo Pasto;Millonarios;0;1;1;1;5;1;1;2;0;Estadio Departamental Libertad (San Juan de Pasto)
Jan 22 2022 - 9:05pm;Cortuluá;Atlético Nacional;1;1;2;6;7;4;0;2;0;Estadio Doce de Octubre (Tuluá)
Jan 22 2022 - 11:10pm;Once Caldas;Unión Magdalena;1;1;2;10;0;2;0;0;0;Estadio Palogrande (Manizales)
Jan 23 2022 - 1:15am;Junior;Patriotas Boyacá;3;1;4;6;4;1;0;3;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 23 2022 - 9:05pm;Independiente Medellín;Deportes Tolima;1;0;1;3;7;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Jan 23 2022 - 11:10pm;Jaguares de Córdoba;Deportivo Cali;2;1;3;3;1;4;0;1;1;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 24 2022 - 1:15am;Alianza Petrolera;Deportivo Pereira;2;1;3;5;4;1;0;1;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 25 2022 - 9:00pm;Envigado;Deportivo Pasto;1;0;1;4;10;3;1;2;0;Estadio Polideportivo Sur (Envigado)
Jan 25 2022 - 11:05pm;Santa Fe;Rionegro Águilas;3;0;3;4;5;1;1;1;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 26 2022 - 1:10am;Atlético Bucaramanga;Millonarios;0;0;0;3;5;3;0;2;0;Estadio Alfonso López (Bucaramanga)
Jan 26 2022 - 7:00pm;La Equidad;Once Caldas;1;2;3;3;3;5;1;1;0;Estadio Metropolitano de Techo (Bogotá- D.C.)
Jan 26 2022 - 9:05pm;Jaguares de Córdoba;Cortuluá;2;1;3;1;4;1;0;2;1;Estadio de Fútbol Jaraguay de Montería (Montería)
Jan 26 2022 - 11:10pm;Deportivo Cali;Deportes Tolima;0;1;1;10;6;2;0;5;0;Estadio Deportivo Cali (Palmira)
Jan 27 2022 - 1:15am;Atlético Nacional;Junior;3;1;4;8;6;1;0;2;0;Estadio Atanasio Girardot (Medellín)
Jan 27 2022 - 9:00pm;Unión Magdalena;Alianza Petrolera;0;0;0;4;3;1;0;1;0;Estadio Sierra Nevada (Santa Marta)
Jan 27 2022 - 11:05pm;Patriotas Boyacá;Independiente Medellín;2;0;2;2;10;1;0;1;0;Estadio de La Independencia (Tunja)
Jan 28 2022 - 1:10am;Deportivo Pereira;América de Cali;1;1;2;4;7;2;0;2;0;Estadio Hernán Ramírez Villegas (Pereira)
Jan 29 2022 - 7:00pm;Cortuluá;Santa Fe;1;1;2;4;4;1;0;7;0;Estadio Doce de Octubre (Tuluá)
Jan 29 2022 - 9:05pm;Rionegro Águilas;Once Caldas;1;1;2;10;7;3;0;6;1;Estadio Alberto Grisales (Rionegro- Antioquia)
Jan 29 2022 - 11:10pm;Junior;La Equidad;1;0;1;2;5;3;0;5;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Jan 30 2022 - 1:15am;Millonarios;Atlético Nacional;0;2;2;4;1;4;0;4;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Jan 30 2022 - 7:00pm;Patriotas Boyacá;Deportivo Pereira;2;3;5;6;6;1;0;0;0;Estadio de La Independencia (Tunja)
Jan 30 2022 - 9:05pm;Independiente Medellín;Deportivo Cali;2;0;2;5;2;3;0;5;0;Estadio Atanasio Girardot (Medellín)
Jan 30 2022 - 11:10pm;América de Cali;Atlético Bucaramanga;3;0;3;2;5;2;0;1;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Jan 31 2022 - 1:15am;Alianza Petrolera;Envigado;2;2;4;2;4;4;0;4;1;Estadio Daniel Villa Zapata (Barrancabermeja)
Jan 31 2022 - 11:00pm;Deportivo Pasto;Jaguares de Córdoba;1;1;2;7;2;4;0;4;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 01 2022 - 1:05am;Deportes Tolima;Unión Magdalena;2;1;3;4;4;1;0;4;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 02 2022 - 7:00pm;Atlético Bucaramanga;Alianza Petrolera;2;1;3;5;4;4;0;2;0;Estadio Alfonso López (Bucaramanga)
Feb 02 2022 - 9:05pm;Envigado;Millonarios;0;0;0;2;9;1;0;3;0;Estadio Polideportivo Sur (Envigado)
Feb 02 2022 - 11:10pm;Deportivo Cali;Deportivo Pereira;1;0;1;5;4;4;0;3;0;Estadio Deportivo Cali (Palmira)
Feb 03 2022 - 1:15am;Santa Fe;Junior;2;1;3;0;6;4;0;5;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 03 2022 - 7:00pm;La Equidad;Rionegro Águilas;0;1;1;3;1;2;0;2;1;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 03 2022 - 9:05pm;Unión Magdalena;Deportivo Pasto;0;0;0;2;8;3;0;3;0;Estadio Sierra Nevada (Santa Marta)
Feb 03 2022 - 11:10pm;Jaguares de Córdoba;Patriotas Boyacá;3;1;4;6;4;2;0;4;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 04 2022 - 1:15am;Atlético Nacional;Deportes Tolima;0;1;1;3;4;3;0;5;0;Estadio Atanasio Girardot (Medellín)
Feb 04 2022 - 9:00pm;Cortuluá;América de Cali;2;0;2;2;5;1;0;4;0;Estadio Doce de Octubre (Tuluá)
Feb 05 2022 - 1:00am;Once Caldas;Independiente Medellín;2;1;3;8;2;2;0;2;0;Estadio Palogrande (Manizales)
Feb 05 2022 - 9:05pm;Envigado;Deportivo Cali;1;0;1;3;7;1;0;4;0;Estadio Polideportivo Sur (Envigado)
Feb 06 2022 - 7:00pm;Patriotas Boyacá;La Equidad;0;1;1;5;3;3;0;2;0;Estadio de La Independencia (Tunja)
Feb 06 2022 - 9:05pm;Deportes Tolima;Atlético Bucaramanga;2;1;3;3;5;1;0;1;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 06 2022 - 11:10pm;Millonarios;Unión Magdalena;1;0;1;8;3;3;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 07 2022 - 1:15am;Deportivo Pasto;Atlético Nacional;0;1;1;4;6;2;0;3;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 07 2022 - 9:05pm;Alianza Petrolera;Jaguares de Córdoba;2;0;2;3;3;5;0;3;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 07 2022 - 11:10pm;Junior;Rionegro Águilas;2;1;3;3;8;3;0;3;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 08 2022 - 1:15am;América de Cali;Santa Fe;2;2;4;5;1;1;0;7;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 08 2022 - 11:00pm;Independiente Medellín;Cortuluá;3;1;4;4;5;2;0;2;0;Estadio Atanasio Girardot (Medellín)
Feb 11 2022 - 9:00pm;Unión Magdalena;Envigado;2;1;3;11;1;3;0;3;0;Estadio Sierra Nevada (Santa Marta)
Feb 11 2022 - 11:05pm;Atlético Bucaramanga;Deportivo Pasto;0;1;1;9;0;1;0;3;0;Estadio Alfonso López (Bucaramanga)
Feb 12 2022 - 1:10am;Atlético Nacional;Alianza Petrolera;0;0;0;7;0;1;0;3;0;Estadio Atanasio Girardot (Medellín)
Feb 12 2022 - 7:00pm;Cortuluá;Patriotas Boyacá;1;0;1;4;4;1;0;4;0;Estadio Doce de Octubre (Tuluá)
Feb 12 2022 - 9:05pm;La Equidad;Independiente Medellín;2;0;2;2;4;5;0;3;1;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 12 2022 - 11:10pm;Once Caldas;Junior;1;0;1;9;4;3;0;3;0;Estadio Palogrande (Manizales)
Feb 13 2022 - 1:15am;Rionegro Águilas;América de Cali;2;0;2;4;4;3;0;2;1;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 13 2022 - 9:00pm;Santa Fe;Deportivo Pereira;1;2;3;8;6;1;0;6;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 13 2022 - 11:05pm;Deportivo Cali;Millonarios;0;2;2;6;2;4;1;3;0;Estadio Deportivo Cali (Palmira)
Feb 14 2022 - 1:10am;Jaguares de Córdoba;Deportes Tolima;0;2;2;3;4;5;0;2;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 15 2022 - 11:00pm;Unión Magdalena;Atlético Bucaramanga;0;1;1;6;1;5;0;3;0;Estadio Sierra Nevada (Santa Marta)
Feb 16 2022 - 1:05am;Envigado;Atlético Nacional;1;2;3;3;3;2;0;1;0;Estadio Metropolitano de Itagüí (Itagüí)
Feb 16 2022 - 7:00pm;Deportivo Pereira;Jaguares de Córdoba;2;1;3;2;8;2;1;3;0;Estadio Hernán Ramírez Villegas (Pereira)
Feb 16 2022 - 9:05pm;Deportes Tolima;Santa Fe;3;0;3;7;4;3;0;6;0;Estadio Manuel Murillo Toro (Ibagué)
Feb 16 2022 - 11:10pm;Millonarios;Rionegro Águilas;2;0;2;8;3;0;0;6;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 17 2022 - 1:15am;Independiente Medellín;Junior;2;0;2;4;6;1;0;5;0;Estadio Atanasio Girardot (Medellín)
Feb 17 2022 - 7:00pm;Patriotas Boyacá;Once Caldas;0;0;0;7;4;3;0;4;0;Estadio de La Independencia (Tunja)
Feb 17 2022 - 9:05pm;Alianza Petrolera;Cortuluá;0;0;0;4;4;1;0;2;0;Estadio Daniel Villa Zapata (Barrancabermeja)
Feb 17 2022 - 11:10pm;Deportivo Pasto;Deportivo Cali;2;0;2;5;6;3;0;5;0;Estadio Departamental Libertad (San Juan de Pasto)
Feb 18 2022 - 1:15am;América de Cali;La Equidad;1;1;2;5;1;3;0;2;0;Estadio Olímpico Pascual Guerrero (Santiago de Cali)
Feb 19 2022 - 9:05pm;Santa Fe;Independiente Medellín;1;0;1;5;6;1;0;3;0;Estadio Nemesio Camacho El Campín (Bogotá- D.C.)
Feb 19 2022 - 11:10pm;Jaguares de Córdoba;Millonarios;1;2;3;6;3;2;0;3;0;Estadio de Fútbol Jaraguay de Montería (Montería)
Feb 20 2022 - 1:15am;Atlético Nacional;Unión Magdalena;1;0;1;1;5;2;0;5;0;Estadio Atanasio Girardot (Medellín)
Feb 20 2022 - 7:00pm;Cortuluá;Deportivo Pereira;2;1;3;6;5;3;0;4;0;Estadio Doce de Octubre (Tuluá)
Feb 20 2022 - 9:05pm;Deportivo Cali;Alianza Petrolera;1;1;2;7;3;2;0;5;0;Estadio Deportivo Cali (Palmira)
Feb 20 2022 - 11:10pm;Junior;América de Cali;1;0;1;3;4;3;0;2;0;Estadio Metropolitano Roberto Meléndez (Barranquilla)
Feb 21 2022 - 1:15am;La Equidad;Deportes Tolima;0;0;0;5;2;3;0;1;1;Estadio Metropolitano de Techo (Bogotá- D.C.)
Feb 22 2022 - 12:40am;Atlético Bucaramanga;Envigado;1;2;3;15;2;3;0;3;0;Estadio Alfonso López (Bucaramanga)
Feb 22 2022 - 10:30pm;Rionegro Águilas;Patriotas Boyacá;1;0;1;3;2;3;0;4;0;Estadio Alberto Grisales (Rionegro- Antioquia)
Feb 23 2022 - 1:05am;Once Caldas;Deportivo Pasto;3;0;3;2;3;3;0;4;1;Estadio Palogrande (Manizales)
Feb 26 2022 - 7:00pm;Envigado;Jaguares de Córdoba;3;1;4;6;5;3;0;5;0;Estadio Polideportivo Sur (Envigado)
